,movie_name,year,imdb_rating,meta_rating,total_votes
348,The Seagull,2018,5.7,58        ,1564
349,Possum,2018,5.6,64        ,1551
350,Maquia: When the Promised Flower Blooms,2018,7.5,72        ,1550
351,The Bleeding Edge,2018,7.7,74        ,1546
352,Nancy,2018,6.2,67        ,1544
353,Generation Wealth,2018,6.4,53        ,1530
354,Bel Canto,2018,5.3,51        ,1504
355,14 Cameras,2018,4.5,25        ,1488
356,What They Had,2018,6.6,69        ,1486
357,First Match,2018,6.3,68        ,1481
358,3 Faces,2018,7.1,78        ,1474
359,Boundaries,2018,4.6,50        ,1468
360,High Life,2018,6.7,81        ,1460
361,Yardie,2018,5.8,52        ,1459
362,Come Sunday,2018,5.9,65        ,1440
363,Then Came You,2018,7.0,44        ,1428
364,Detective Dee: The Four Heavenly Kings,2018,6.3,58        ,1412
365,Sorry Angel,2018,6.8,76        ,1401
366,Never Goin' Back,2018,6.0,62        ,1393
367,Donbass,2018,7.0,74        ,1392
368,An Elephant Sitting Still,2018,7.8,81        ,1336
369,Ride,2018,5.4,45        ,1332
370,The Rachel Divide,2018,6.2,59        ,1322
371,Pope Francis: A Man of His Word,2018,5.8,63        ,1307
372,Sunset,2018,6.7,72        ,1306
373,Do You Trust This Computer?,2018,7.5,62        ,1265
374,The Golem,2018,6.2,63        ,1248
375,Speed Kills,2018,4.0,19        ,1240
376,Peterloo,2018,6.5,70        ,1238
377,Unbroken: Path to Redemption,2018,5.7,39        ,1236
378,Mug,2018,6.5,70        ,1232
379,Monster Party,2018,5.3,58        ,1204
380,Studio 54,2018,6.9,70        ,1196
381,Detective Chinatown 2,2018,6.1,48        ,1191
382,Dovlatov,2018,6.5,68        ,1188
383,Touch Me Not,2018,6.2,65        ,1183
384,Contract to Kill,2018,3.5,3        ,1171
385,Soni,2018,7.3,68        ,1165
386,Asher,2018,5.4,58        ,1156
387,Luis & the Aliens,2018,6.0,46        ,1156
388,The Long Dumb Road,2018,6.0,64        ,1148
389,BuyBust,2018,5.9,68        ,1130
390,Blaze,2018,6.8,75        ,1101
391,Sauvage,2018,7.1,78        ,1097
392,The Standoff at Sparrow Creek,2018,6.2,62        ,1097
393,"Ruben Brandt, Collector",2018,7.9,74        ,1089
394,Summer '03,2018,5.3,45        ,1085
395,Sgt. Stubby: An American Hero,2018,6.9,57        ,1084
396,Blue Iguana,2018,5.4,30        ,1084
397,The Spy Gone North,2018,7.2,69        ,1075
398,Jane Fonda in Five Acts,2018,7.9,87        ,1059
